b,lmax,fitness_difference
0.00001,0.0,6.503988403405714e-8
0.00001,0.002004008016032064,6.503667115964618e-8
0.00001,0.004008016032064128,6.503345746644573e-8
0.00001,0.0060120240480961915,6.503024298221138e-8
0.00001,0.008016032064128256,6.502702780408764e-8
0.00001,0.01002004008016032,6.502381186268558e-8
0.00001,0.012024048096192383,6.502059510249403e-8
0.00001,0.014028056112224447,6.501737756514636e-8
0.00001,0.01603206412825651,6.501415930615373e-8
0.00001,0.018036072144288574,6.501094028388277e-8
0.00001,0.02004008016032064,6.500772044282233e-8
0.00001,0.022044088176352703,6.500449988011692e-8
0.00001,0.024048096192384766,6.500127858188876e-8
0.00001,0.026052104208416832,6.499805643711554e-8
0.00001,0.028056112224448895,6.499483354294178e-8
0.00001,0.03006012024048096,6.499160995487863e-8
0.00001,0.03206412825651302,6.498838549251484e-8
0.00001,0.03406813627254509,6.498516032238388e-8
0.00001,0.03607214428857715,6.498193434734123e-8
0.00001,0.038076152304609215,6.497870765065361e-8
0.00001,0.04008016032064128,6.49754801490543e-8
0.00001,0.04208416833667334,6.497225191193223e-8
0.00001,0.044088176352705406,6.496902286989847e-8
0.00001,0.04609218436873747,6.496579310621975e-8
0.00001,0.04809619238476953,6.496256252375154e-8
0.00001,0.0501002004008016,6.49593311918828e-8
0.00001,0.052104208416833664,6.495609911061351e-8
0.00001,0.05410821643286573,6.495286623831031e-8
0.00001,0.05611222444889779,6.494963260272879e-8
0.00001,0.058116232464929855,6.494639821774673e-8
0.00001,0.06012024048096192,6.494316304173076e-8
0.00001,0.06212424849699398,6.493992707468088e-8
0.00001,0.06412825651302605,6.493669035823046e-8
0.00001,0.06613226452905811,6.493345283686836e-8
0.00001,0.06813627254509018,6.493021459386128e-8
0.00001,0.07014028056112225,6.49269755598203e-8
0.00001,0.0721442885771543,6.492373577637878e-8
0.00001,0.07414829659318636,6.492049520190335e-8
0.00001,0.07615230460921843,6.491725386414959e-8
0.00001,0.0781563126252505,6.491401174923972e-8
0.00001,0.08016032064128256,6.491076887105152e-8
0.00001,0.08216432865731463,6.490752520182941e-8
0.00001,0.08416833667334668,6.490428079708455e-8
0.00001,0.08617234468937875,6.490103560130578e-8
0.00001,0.08817635270541081,6.48977896144931e-8
0.00001,0.09018036072144288,6.489454289215768e-8
0.00001,0.09218436873747494,6.48912953232772e-8
0.00001,0.09418837675350701,6.488804706050733e-8
0.00001,0.09619238476953906,6.488479802058134e-8
0.00001,0.09819639278557113,6.48815482312548e-8
0.00001,0.1002004008016032,6.487829758150543e-8
0.00001,0.10220440881763526,6.487504622398887e-8
0.00001,0.10420841683366733,6.48717940893162e-8
0.00001,0.1062124248496994,6.486854116360963e-8
0.00001,0.10821643286573146,6.486528741911357e-8
0.00001,0.11022044088176351,6.486203296685034e-8
0.00001,0.11222444889779558,6.485877773743098e-8
0.00001,0.11422845691382764,6.485552171697773e-8
0.00001,0.11623246492985971,6.485226489161278e-8
0.00001,0.11823647294589178,6.484900738623622e-8
0.00001,0.12024048096192384,6.484574902043683e-8
0.00001,0.1222444889779559,6.484248990523689e-8
0.00001,0.12424849699398796,6.483923002675862e-8
0.00001,0.12625250501002003,6.483596935724645e-8
0.00001,0.1282565130260521,6.483270795221152e-8
0.00001,0.13026052104208416,6.482944570063154e-8
0.00001,0.13226452905811623,6.482618275516216e-8
0.00001,0.1342685370741483,6.482291899090331e-8
0.00001,0.13627254509018036,6.481965446336613e-8
0.00001,0.13827655310621242,6.481638913091725e-8
0.00001,0.1402805611222445,6.481312306294562e-8
0.00001,0.14228456913827653,6.48098561900623e-8
0.00001,0.1442885771543086,6.480658854002286e-8
0.00001,0.14629258517034066,6.480332016833845e-8
0.00001,0.14829659318637273,6.480005099174235e-8
0.00001,0.1503006012024048,6.479678103799014e-8
0.00001,0.15230460921843686,6.479351025157065e-8
0.00001,0.15430861723446893,6.479023875738399e-8
0.00001,0.156312625250501,6.478696647216342e-8
0.00001,0.15831663326653306,6.478369339590895e-8
0.00001,0.16032064128256512,6.478041959800951e-8
0.00001,0.1623246492985972,6.477714489805386e-8
0.00001,0.16432865731462926,6.477386951808661e-8
0.00001,0.16633266533066132,6.477059333320767e-8
0.00001,0.16833667334669336,6.47673163850504e-8
0.00001,0.17034068136272543,6.476403868749259e-8
0.00001,0.1723446893787575,6.476076018502308e-8
0.00001,0.17434869739478956,6.475748082213073e-8
0.00001,0.17635270541082163,6.475420077922678e-8
0.00001,0.1783567134268537,6.475091995916671e-8
0.00001,0.18036072144288576,6.474763833419495e-8
0.00001,0.18236472945891782,6.474435593206707e-8
0.00001,0.1843687374749499,6.47410727111497e-8
0.00001,0.18637274549098196,6.473778876858738e-8
0.00001,0.18837675350701402,6.473450404886893e-8
0.00001,0.1903807615230461,6.473121857974995e-8
0.00001,0.19238476953907813,6.472793225020812e-8
0.00001,0.1943887775551102,6.472464519902132e-8
0.00001,0.19639278557114226,6.472135731516726e-8
0.00001,0.19839679358717432,6.471806870966823e-8
0.00001,0.2004008016032064,6.471477928537972e-8
0.00001,0.20240480961923846,6.471148911169067e-8
0.00001,0.20440881763527052,6.470819810533435e-8
0.00001,0.2064128256513026,6.470490632182191e-8
0.00001,0.20841683366733466,6.470161383054229e-8
0.00001,0.21042084168336672,6.469832054822877e-8
0.00001,0.2124248496993988,6.46950264054924e-8
0.00001,0.21442885771543085,6.469173155498886e-8
0.00001,0.21643286573146292,6.468843587181805e-8
0.00001,0.21843687374749496,6.468513950863564e-8
0.00001,0.22044088176352702,6.468184227115259e-8
0.00001,0.2224448897795591,6.467854424263564e-8
0.00001,0.22444889779559116,6.467524546471815e-8
0.00001,0.22645290581162322,6.467194588188896e-8
0.00001,0.2284569138276553,6.466864560517038e-8
0.00001,0.23046092184368736,6.466534441251781e-8
0.00001,0.23246492985971942,6.466204255373142e-8
0.00001,0.2344689378757515,6.46587398345222e-8
0.00001,0.23647294589178355,6.465543636591242e-8
0.00001,0.23847695390781562,6.465213214790211e-8
0.00001,0.24048096192384769,6.464882708334674e-8
0.00001,0.24248496993987975,6.464552126939083e-8
0.00001,0.2444889779559118,6.46422146782788e-8
0.00001,0.24649298597194386,6.463890729613286e-8
0.00001,0.24849699398797592,6.463559912295302e-8
0.00001,0.250501002004008,6.46322901309837e-8
0.00001,0.25250501002004005,6.462898045900278e-8
0.00001,0.2545090180360721,6.46256699404768e-8
0.00001,0.2565130260521042,6.46223586586725e-8
0.00001,0.25851703406813625,6.461904651644534e-8
0.00001,0.2605210420841683,6.461573366645101e-8
0.00001,0.2625250501002004,6.461242001154499e-8
0.00001,0.26452905811623245,6.460910560723843e-8
0.00001,0.2665330661322645,6.46057903563868e-8
0.00001,0.2685370741482966,6.460247435613464e-8
0.00001,0.27054108216432865,6.459915759260415e-8
0.00001,0.2725450901803607,6.459583999640639e-8
0.00001,0.2745490981963928,6.459252166468588e-8
0.00001,0.27655310621242485,6.458920251417588e-8
0.00001,0.2785571142284569,6.458588255875419e-8
0.00001,0.280561122244489,6.458256188168754e-8
0.00001,0.282565130260521,6.457924037195362e-8
0.00001,0.28456913827655306,6.457591809894137e-8
0.00001,0.2865731462925851,6.457259499326184e-8
0.00001,0.2885771543086172,6.4569271124304e-8
0.00001,0.29058116232464926,6.456594651982339e-8
0.00001,0.2925851703406813,6.456262108267552e-8
