b,lmax,fitness
0.00001,0.0,0.11984994475114902
0.00001,0.002004008016032064,0.11985230254080967
0.00001,0.004008016032064128,0.11985466048392296
0.00001,0.0060120240480961915,0.1198570185804882
0.00001,0.008016032064128256,0.11985937683050484
0.00001,0.01002004008016032,0.1198617352339722
0.00001,0.012024048096192383,0.1198640937908897
0.00001,0.014028056112224447,0.11986645250125666
0.00001,0.01603206412825651,0.11986881136507248
0.00001,0.018036072144288574,0.11987117038233648
0.00001,0.02004008016032064,0.11987352955304807
0.00001,0.022044088176352703,0.11987588887720661
0.00001,0.024048096192384766,0.1198782483548114
0.00001,0.026052104208416832,0.11988060798586188
0.00001,0.028056112224448895,0.11988296777035738
0.00001,0.03006012024048096,0.11988532770829723
0.00001,0.03206412825651302,0.1198876877996808
0.00001,0.03406813627254509,0.11989004804450744
0.00001,0.03607214428857715,0.1198924084427766
0.00001,0.038076152304609215,0.11989476899448748
0.00001,0.04008016032064128,0.11989712969963953
0.00001,0.04208416833667334,0.11989949055823211
0.00001,0.044088176352705406,0.1199018515702645
0.00001,0.04609218436873747,0.11990421273573611
0.00001,0.04809619238476953,0.11990657405464622
0.00001,0.0501002004008016,0.11990893552699426
0.00001,0.052104208416833664,0.11991129715277953
0.00001,0.05410821643286573,0.11991365893200136
0.00001,0.05611222444889779,0.1199160208646591
0.00001,0.058116232464929855,0.11991838295075213
0.00001,0.06012024048096192,0.11992074519027973
0.00001,0.06212424849699398,0.1199231075832413
0.00001,0.06412825651302605,0.11992547012963614
0.00001,0.06613226452905811,0.11992783282946361
0.00001,0.06813627254509018,0.11993019568272299
0.00001,0.07014028056112225,0.11993255868941366
0.00001,0.0721442885771543,0.11993492184953497
0.00001,0.07414829659318636,0.1199372851630862
0.00001,0.07615230460921843,0.11993964863006674
0.00001,0.0781563126252505,0.11994201225047588
0.00001,0.08016032064128256,0.11994437602431295
0.00001,0.08216432865731463,0.11994673995157724
0.00001,0.08416833667334668,0.11994910403226818
0.00001,0.08617234468937875,0.119951468266385
0.00001,0.08817635270541081,0.11995383265392708
0.00001,0.09018036072144288,0.1199561971948937
0.00001,0.09218436873747494,0.11995856188928422
0.00001,0.09418837675350701,0.11996092673709789
0.00001,0.09619238476953906,0.11996329173833414
0.00001,0.09819639278557113,0.1199656568929922
0.00001,0.1002004008016032,0.11996802220107139
0.00001,0.10220440881763526,0.11997038766257105
0.00001,0.10420841683366733,0.1199727532774905
0.00001,0.1062124248496994,0.11997511904582904
0.00001,0.10821643286573146,0.11997748496758597
0.00001,0.11022044088176351,0.11997985104276061
0.00001,0.11222444889779558,0.11998221727135232
0.00001,0.11422845691382764,0.11998458365336034
0.00001,0.11623246492985971,0.11998695018878398
0.00001,0.11823647294589178,0.11998931687762254
0.00001,0.12024048096192384,0.11999168371987538
0.00001,0.1222444889779559,0.11999405071554174
0.00001,0.12424849699398796,0.11999641786462097
0.00001,0.12625250501002003,0.11999878516711232
0.00001,0.1282565130260521,0.12000115262301517
0.00001,0.13026052104208416,0.12000352023232873
0.00001,0.13226452905811623,0.12000588799505231
0.00001,0.1342685370741483,0.12000825591118526
0.00001,0.13627254509018036,0.12001062398072687
0.00001,0.13827655310621242,0.12001299220367638
0.00001,0.1402805611222445,0.12001536058003309
0.00001,0.14228456913827653,0.12001772910979637
0.00001,0.1442885771543086,0.1200200977929654
0.00001,0.14629258517034066,0.12002246662953953
0.00001,0.14829659318637273,0.12002483561951802
0.00001,0.1503006012024048,0.12002720476290021
0.00001,0.15230460921843686,0.12002957405968535
0.00001,0.15430861723446893,0.12003194350987267
0.00001,0.156312625250501,0.12003431311346154
0.00001,0.15831663326653306,0.12003668287045118
0.00001,0.16032064128256512,0.1200390527808409
0.00001,0.1623246492985972,0.12004142284462999
0.00001,0.16432865731462926,0.1200437930618177
0.00001,0.16633266533066132,0.12004616343240332
0.00001,0.16833667334669336,0.12004853395638614
0.00001,0.17034068136272543,0.12005090463376536
0.00001,0.1723446893787575,0.12005327546454035
0.00001,0.17434869739478956,0.12005564644871035
0.00001,0.17635270541082163,0.12005801758627459
0.00001,0.1783567134268537,0.1200603888772324
0.00001,0.18036072144288576,0.120062760321583
0.00001,0.18236472945891782,0.12006513191932569
0.00001,0.1843687374749499,0.12006750367045972
0.00001,0.18637274549098196,0.12006987557498436
0.00001,0.18837675350701402,0.12007224763289887
0.00001,0.1903807615230461,0.12007461984420251
0.00001,0.19238476953907813,0.12007699220889452
0.00001,0.1943887775551102,0.12007936472697421
0.00001,0.19639278557114226,0.12008173739844079
0.00001,0.19839679358717432,0.12008411022329353
0.00001,0.2004008016032064,0.12008648320153173
0.00001,0.20240480961923846,0.12008885633315461
0.00001,0.20440881763527052,0.1200912296181614
0.00001,0.2064128256513026,0.12009360305655135
0.00001,0.20841683366733466,0.12009597664832379
0.00001,0.21042084168336672,0.1200983503934779
0.00001,0.2124248496993988,0.12010072429201295
0.00001,0.21442885771543085,0.12010309834392817
0.00001,0.21643286573146292,0.12010547254922284
0.00001,0.21843687374749496,0.12010784690789617
0.00001,0.22044088176352702,0.1201102214199474
0.00001,0.2224448897795591,0.12011259608537583
0.00001,0.22444889779559116,0.12011497090418063
0.00001,0.22645290581162322,0.12011734587636111
0.00001,0.2284569138276553,0.12011972100191645
0.00001,0.23046092184368736,0.12012209628084593
0.00001,0.23246492985971942,0.12012447171314874
0.00001,0.2344689378757515,0.1201268472988242
0.00001,0.23647294589178355,0.12012922303787144
0.00001,0.23847695390781562,0.12013159893028974
0.00001,0.24048096192384769,0.12013397497607836
0.00001,0.24248496993987975,0.12013635117523652
0.00001,0.2444889779559118,0.12013872752776342
0.00001,0.24649298597194386,0.1201411040336583
0.00001,0.24849699398797592,0.12014348069292038
0.00001,0.250501002004008,0.1201458575055489
0.00001,0.25250501002004005,0.12014823447154312
0.00001,0.2545090180360721,0.12015061159090223
0.00001,0.2565130260521042,0.12015298886362541
0.00001,0.25851703406813625,0.12015536628971198
0.00001,0.2605210420841683,0.12015774386916105
0.00001,0.2625250501002004,0.1201601216019719
0.00001,0.26452905811623245,0.12016249948814373
0.00001,0.2665330661322645,0.12016487752767581
0.00001,0.2685370741482966,0.12016725572056726
0.00001,0.27054108216432865,0.12016963406681737
0.00001,0.2725450901803607,0.12017201256642533
0.00001,0.2745490981963928,0.12017439121939034
0.00001,0.27655310621242485,0.12017677002571164
0.00001,0.2785571142284569,0.1201791489853884
0.00001,0.280561122244489,0.12018152809841985
0.00001,0.282565130260521,0.12018390736480523
0.00001,0.28456913827655306,0.1201862867845437
0.00001,0.2865731462925851,0.12018866635763448
0.00001,0.2885771543086172,0.12019104608407674
0.00001,0.29058116232464926,0.12019342596386973
0.00001,0.2925851703406813,0.12019580599701263
0.00001,0.2945891783567134,0.12019818618350463
0.00001,0.29659318637274545,0.12020056652334496
0.00001,0.2985971943887775,0.12020294701653284
0.00001,0.3006012024048096,0.12020532766306737
0.00001,0.30260521042084165,0.12020770846294782
0.00001,0.3046092184368737,0.12021008941617337
0.00001,0.3066132264529058,0.12021247052274321
0.00001,0.30861723446893785,0.12021485178265656
0.00001,0.3106212424849699,0.12021723319591253
0.00001,0.312625250501002,0.12021961476251038
0.00001,0.31462925851703405,0.12022199648244924
0.00001,0.3166332665330661,0.1202243783557284
0.00001,0.3186372745490982,0.12022676038234695
0.00001,0.32064128256513025,0.12022914256230414
0.00001,0.3226452905811623,0.12023152489559909
0.00001,0.3246492985971944,0.12023390738223098
0.00001,0.32665330661322645,0.12023629002219907
0.00001,0.3286573146292585,0.12023867281550249
0.00001,0.3306613226452906,0.12024105576214038
0.00001,0.33266533066132264,0.12024343886211201
0.00001,0.33466933867735466,0.12024582211541646
0.00001,0.3366733466933867,0.12024820552205298
0.00001,0.3386773547094188,0.1202505890820207
0.00001,0.34068136272545085,0.1202529727953188
0.00001,0.3426853707414829,0.12025535666194644
0.00001,0.344689378757515,0.12025774068190283
0.00001,0.34669338677354705,0.12026012485518713
0.00001,0.3486973947895791,0.12026250918179845
0.00001,0.3507014028056112,0.12026489366173602
0.00001,0.35270541082164325,0.12026727829499899
0.00001,0.3547094188376753,0.12026966308158653
0.00001,0.3567134268537074,0.1202720480214978
0.00001,0.35871743486973945,0.12027443311473192
0.00001,0.3607214428857715,0.12027681836128809
0.00001,0.3627254509018036,0.12027920376116547
0.00001,0.36472945891783565,0.12028158931436324
0.00001,0.3667334669338677,0.1202839750208805
0.00001,0.3687374749498998,0.12028636088071643
0.00001,0.37074148296593185,0.12028874689387019
0.00001,0.3727454909819639,0.12029113306034096
0.00001,0.374749498997996,0.12029351938012786
0.00001,0.37675350701402804,0.12029590585323004
0.00001,0.3787575150300601,0.12029829247964666
0.00001,0.3807615230460922,0.12030067925937687
0.00001,0.38276553106212424,0.1203030661924198
0.00001,0.38476953907815625,0.12030545327877462
0.00001,0.3867735470941883,0.12030784051844046
0.00001,0.3887775551102204,0.12031022791141648
0.00001,0.39078156312625245,0.12031261545770179
0.00001,0.3927855711422845,0.12031500315729557
0.00001,0.3947895791583166,0.12031739101019696
0.00001,0.39679358717434865,0.12031977901640507
0.00001,0.3987975951903807,0.12032216717591901
0.00001,0.4008016032064128,0.12032455548873802
0.00001,0.40280561122244485,0.12032694395486114
0.00001,0.4048096192384769,0.12032933257428756
0.00001,0.406813627254509,0.12033172134701638
0.00001,0.40881763527054105,0.12033411027304673
0.00001,0.4108216432865731,0.12033649935237778
0.00001,0.4128256513026052,0.12033888858500862
0.00001,0.41482965931863724,0.12034127797093838
0.00001,0.4168336673346693,0.12034366751016622
0.00001,0.4188376753507014,0.12034605720269125
0.00001,0.42084168336673344,0.1203484470485126
0.00001,0.4228456913827655,0.12035083704762935
0.00001,0.4248496993987976,0.12035322720004066
0.00001,0.42685370741482964,0.12035561750574567
0.00001,0.4288577154308617,0.12035800796474347
0.00001,0.4308617234468938,0.1203603985770332
0.00001,0.43286573146292584,0.12036278934261396
0.00001,0.4348697394789579,0.12036518026148488
0.00001,0.4368737474949899,0.12036757133364503
0.00001,0.438877755511022,0.12036996255909362
0.00001,0.44088176352705405,0.12037235393782968
0.00001,0.4428857715430861,0.12037474546985233
0.00001,0.4448897795591182,0.12037713715516075
0.00001,0.44689378757515025,0.12037952899375395
0.00001,0.4488977955911823,0.1203819209856311
0.00001,0.4509018036072144,0.12038431313079132
0.00001,0.45290581162324645,0.12038670542923365
0.00001,0.4549098196392785,0.12038909788095724
0.00001,0.4569138276553106,0.1203914904859612
0.00001,0.45891783567134264,0.12039388324424463
0.00001,0.4609218436873747,0.12039627615580659
0.00001,0.4629258517034068,0.12039866922064624
0.00001,0.46492985971943884,0.12040106243876265
0.00001,0.4669338677354709,0.12040345581015491
0.00001,0.468937875751503,0.12040584933482214
0.00001,0.47094188376753504,0.12040824301276339
0.00001,0.4729458917835671,0.1204106368439778
0.00001,0.4749498997995992,0.12041303082846445
0.00001,0.47695390781563124,0.12041542496622243
0.00001,0.4789579158316633,0.12041781925725081
0.00001,0.48096192384769537,0.12042021370154872
0.00001,0.48296593186372744,0.12042260829911523
0.00001,0.4849699398797595,0.12042500304994942
0.00001,0.48697394789579157,0.12042739795405036
0.00001,0.4889779559118236,0.12042979301141715
0.00001,0.49098196392785565,0.12043218822204892
0.00001,0.4929859719438877,0.12043458358594467
0.00001,0.4949899799599198,0.12043697910310354
0.00001,0.49699398797595185,0.12043937477352462
0.00001,0.4989979959919839,0.1204417705972069
0.00001,0.501002004008016,0.12044416657414957
0.00001,0.503006012024048,0.12044656270435163
0.00001,0.5050100200400801,0.12044895898781215
0.00001,0.5070140280561122,0.12045135542453028
0.00001,0.5090180360721442,0.12045375201450503
0.00001,0.5110220440881763,0.12045614875773548
0.00001,0.5130260521042084,0.12045854565422072
0.00001,0.5150300601202404,0.1204609427039598
0.00001,0.5170340681362725,0.1204633399069518
0.00001,0.5190380761523046,0.12046573726319579
0.00001,0.5210420841683366,0.12046813477269079
0.00001,0.5230460921843687,0.12047053243543593
0.00001,0.5250501002004008,0.12047293025143024
0.00001,0.5270541082164328,0.12047532822067278
0.00001,0.5290581162324649,0.12047772634316263
0.00001,0.531062124248497,0.12048012461889883
0.00001,0.533066132264529,0.12048252304788044
0.00001,0.5350701402805611,0.12048492163010653
0.00001,0.5370741482965932,0.12048732036557619
0.00001,0.5390781563126252,0.12048971925428836
0.00001,0.5410821643286573,0.1204921182962422
0.00001,0.5430861723446894,0.12049451749143676
0.00001,0.5450901803607214,0.12049691683987104
0.00001,0.5470941883767535,0.12049931634154414
0.00001,0.5490981963927856,0.12050171599645507
0.00001,0.5511022044088176,0.1205041158046029
0.00001,0.5531062124248497,0.12050651576598662
0.00001,0.5551102204408818,0.12050891588060535
0.00001,0.5571142284569138,0.12051131614845813
0.00001,0.5591182364729459,0.12051371656954395
0.00001,0.561122244488978,0.12051611714386189
0.00001,0.56312625250501,0.12051851787141096
0.00001,0.565130260521042,0.12052091875219027
0.00001,0.567134268537074,0.12052331978619878
0.00001,0.5691382765531061,0.12052572097343557
0.00001,0.5711422845691382,0.12052812231389964
0.00001,0.5731462925851702,0.12053052380759009
0.00001,0.5751503006012023,0.12053292545450589
0.00001,0.5771543086172344,0.1205353272546461
0.00001,0.5791583166332664,0.12053772920800974
0.00001,0.5811623246492985,0.12054013131459586
0.00001,0.5831663326653306,0.12054253357440346
0.00001,0.5851703406813626,0.12054493598743163
0.00001,0.5871743486973947,0.12054733855367929
0.00001,0.5891783567134268,0.12054974127314558
0.00001,0.5911823647294588,0.1205521441458294
0.00001,0.5931863727454909,0.12055454717172992
0.00001,0.595190380761523,0.12055695035084606
0.00001,0.597194388777555,0.12055935368317687
0.00001,0.5991983967935871,0.12056175716872132
0.00001,0.6012024048096192,0.12056416080747855
0.00001,0.6032064128256512,0.12056656459944744
0.00001,0.6052104208416833,0.12056896854462709
0.00001,0.6072144288577154,0.12057137264301648
0.00001,0.6092184368737474,0.12057377689461467
0.00001,0.6112224448897795,0.1205761812994206
0.00001,0.6132264529058116,0.12057858585743335
0.00001,0.6152304609218436,0.1205809905686519
0.00001,0.6172344689378757,0.12058339543307525
0.00001,0.6192384769539078,0.12058580045070241
0.00001,0.6212424849699398,0.12058820562153238
0.00001,0.6232464929859719,0.1205906109455642
0.00001,0.625250501002004,0.12059301642279685
0.00001,0.627254509018036,0.12059542205322936
0.00001,0.6292585170340681,0.12059782783686067
0.00001,0.6312625250501002,0.12060023377368984
0.00001,0.6332665330661322,0.12060263986371583
0.00001,0.6352705410821643,0.12060504610693769
0.00001,0.6372745490981964,0.12060745250335436
0.00001,0.6392785571142284,0.12060985905296483
0.00001,0.6412825651302605,0.12061226575576818
0.00001,0.6432865731462926,0.12061467261176329
0.00001,0.6452905811623246,0.12061707962094924
0.00001,0.6472945891783567,0.12061948678332501
0.00001,0.6492985971943888,0.12062189409888954
0.00001,0.6513026052104208,0.12062430156764188
0.00001,0.6533066132264529,0.12062670918958095
0.00001,0.655310621242485,0.1206291169647058
0.00001,0.657314629258517,0.1206315248930154
0.00001,0.6593186372745491,0.12063393297450871
0.00001,0.6613226452905812,0.12063634120918473
0.00001,0.6633266533066132,0.12063874959704245
0.00001,0.6653306613226453,0.12064115813808082
0.00001,0.6673346693386772,0.12064356683229886
0.00001,0.6693386773547093,0.1206459756796955
0.00001,0.6713426853707414,0.12064838468026977
0.00001,0.6733466933867734,0.12065079383402058
0.00001,0.6753507014028055,0.120653203140947
0.00001,0.6773547094188376,0.1206556126010479
0.00001,0.6793587174348696,0.12065802221432236
0.00001,0.6813627254509017,0.12066043198076926
0.00001,0.6833667334669338,0.12066284190038758
0.00001,0.6853707414829658,0.12066525197317635
0.00001,0.6873747494989979,0.1206676621991345
0.00001,0.68937875751503,0.12067007257826093
0.00001,0.691382765531062,0.1206724831105547
0.00001,0.6933867735470941,0.1206748937960148
0.00001,0.6953907815631262,0.12067730463464008
0.00001,0.6973947895791582,0.12067971562642958
0.00001,0.6993987975951903,0.12068212677138225
0.00001,0.7014028056112224,0.12068453806949703
0.00001,0.7034068136272544,0.12068694952077291
0.00001,0.7054108216432865,0.12068936112520878
0.00001,0.7074148296593186,0.12069177288280364
0.00001,0.7094188376753506,0.12069418479355648
0.00001,0.7114228456913827,0.12069659685746621
0.00001,0.7134268537074148,0.12069900907453181
0.00001,0.7154308617234468,0.12070142144475218
0.00001,0.7174348697394789,0.12070383396812634
0.00001,0.719438877755511,0.12070624664465315
0.00001,0.721442885771543,0.12070865947433167
0.00001,0.7234468937875751,0.12071107245716074
0.00001,0.7254509018036072,0.12071348559313938
0.00001,0.7274549098196392,0.12071589888226647
0.00001,0.7294589178356713,0.120718312324541
0.00001,0.7314629258517034,0.12072072591996194
0.00001,0.7334669338677354,0.12072313966852817
0.00001,0.7354709418837675,0.1207255535702386
0.00001,0.7374749498997996,0.12072796762509228
0.00001,0.7394789579158316,0.12073038183308807
0.00001,0.7414829659318637,0.12073279619422493
0.00001,0.7434869739478958,0.12073521070850177
0.00001,0.7454909819639278,0.12073762537591753
0.00001,0.7474949899799599,0.12074004019647117
0.00001,0.749498997995992,0.1207424551701616
0.00001,0.751503006012024,0.12074487029698776
0.00001,0.7535070140280561,0.12074728557694855
0.00001,0.7555110220440882,0.12074970101004298
0.00001,0.7575150300601202,0.12075211659626985
0.00001,0.7595190380761523,0.12075453233562819
0.00001,0.7615230460921844,0.12075694822811686
0.00001,0.7635270541082164,0.12075936427373483
0.00001,0.7655310621242485,0.12076178047248101
0.00001,0.7675350701402806,0.12076419682435427
0.00001,0.7695390781563125,0.12076661332935361
0.00001,0.7715430861723446,0.12076902998747789
0.00001,0.7735470941883766,0.12077144679872609
0.00001,0.7755511022044087,0.12077386376309703
0.00001,0.7775551102204408,0.1207762808805897
0.00001,0.7795591182364728,0.120778698151203
0.00001,0.7815631262525049,0.1207811155749358
0.00001,0.783567134268537,0.12078353315178708
0.00001,0.785571142284569,0.1207859508817557
0.00001,0.7875751503006011,0.1207883687648406
0.00001,0.7895791583166332,0.12079078680104062
0.00001,0.7915831663326652,0.1207932049903548
0.00001,0.7935871743486973,0.12079562333278192
0.00001,0.7955911823647294,0.1207980418283209
0.00001,0.7975951903807614,0.1208004604769707
0.00001,0.7995991983967935,0.1208028792787302
0.00001,0.8016032064128256,0.12080529823359827
0.00001,0.8036072144288576,0.12080771734157388
0.00001,0.8056112224448897,0.12081013660265584
0.00001,0.8076152304609218,0.1208125560168431
0.00001,0.8096192384769538,0.12081497558413458
0.00001,0.8116232464929859,0.12081739530452908
0.00001,0.813627254509018,0.12081981517802558
0.00001,0.81563126252505,0.12082223520462294
0.00001,0.8176352705410821,0.1208246553843201
0.00001,0.8196392785571142,0.12082707571711583
0.00001,0.8216432865731462,0.1208294962030091
0.00001,0.8236472945891783,0.12083191684199886
0.00001,0.8256513026052104,0.12083433763408394
0.00001,0.8276553106212424,0.12083675857926315
0.00001,0.8296593186372745,0.12083917967753545
0.00001,0.8316633266533066,0.12084160092889976
0.00001,0.8336673346693386,0.1208440223333549
0.00001,0.8356713426853707,0.12084644389089974
0.00001,0.8376753507014028,0.12084886560153323
0.00001,0.8396793587174348,0.12085128746525418
0.00001,0.8416833667334669,0.12085370948206146
0.00001,0.843687374749499,0.12085613165195402
0.00001,0.845691382765531,0.12085855397493067
0.00001,0.8476953907815631,0.12086097645099031
0.00001,0.8496993987975952,0.12086339908013183
0.00001,0.8517034068136272,0.1208658218623541
0.00001,0.8537074148296593,0.12086824479765593
0.00001,0.8557114228456913,0.12087066788603623
0.00001,0.8577154308617234,0.12087309112749389
0.00001,0.8597194388777555,0.12087551452202779
0.00001,0.8617234468937875,0.12087793806963669
0.00001,0.8637274549098196,0.12088036177031958
0.00001,0.8657314629258517,0.12088278562407524
0.00001,0.8677354709418837,0.12088520963090255
0.00001,0.8697394789579158,0.12088763379080039
0.00001,0.8717434869739479,0.12089005810376763
0.00001,0.8737474949899798,0.12089248256980306
0.00001,0.8757515030060119,0.12089490718890561
0.00001,0.877755511022044,0.12089733196107416
0.00001,0.879759519038076,0.1208997568863075
0.00001,0.8817635270541081,0.12090218196460445
0.00001,0.8837675350701402,0.12090460719596398
0.00001,0.8857715430861722,0.12090703258038482
0.00001,0.8877755511022043,0.12090945811786592
0.00001,0.8897795591182364,0.12091188380840608
0.00001,0.8917835671342684,0.12091430965200414
0.00001,0.8937875751503005,0.12091673564865897
0.00001,0.8957915831663326,0.12091916179836941
