year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
1948,-203.10173863918615,-228.00974015486085,-149.10485150965806,-170.44785547283485,-206.85049826321196,-204.19210718931188,-208.99693074314396,-179.53167364523134
1949,-207.4652956218507,-238.70917409562176,-156.1066605519899,-173.31529717676406,-195.04044520767943,-222.4994976231596,-192.05592691278085,-180.0251893087257
1950,-179.22363980685978,-240.4608161371914,-167.8449148889383,-175.7105803719722,-183.00137273107717,-203.9792430118283,-187.86210483525147,-199.00984614116473
1951,-173.69282642968093,-225.04355928818737,-170.72699959164848,-189.88083562482726,-175.53210355895916,-211.0513084207075,-175.6802829120298,-227.02673452731952
1952,-171.89679016476614,-220.5987832215176,-171.58662953727227,-200.00450746705903,-176.04502093787644,-186.926646544936,-163.58678643714578,-226.48113464955415
