year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
1961,0.8448978401732653,1.054222134038817,1.157176373770582,0.5611740849428738,1.0962007670794767,0.893332596282649,1.1885845082292334,0.8249502080475247
1962,0.81848074661883,1.04767077099447,1.0253405372861204,0.6648614276521781,1.1719524806982953,0.6741882346915195,1.265035556446123,0.8652641633353011
1963,1.0001104142168762,1.1604273077556693,1.1034879560919872,0.7838837764871757,1.1698374755845518,0.8267107787790463,1.4170022876603618,0.8449563275763496
1964,0.9595174202904662,1.2583351356915358,1.0545599267874926,0.7090658959373584,1.1838368098027896,0.9470809822629827,1.5320604620371339,0.9037777247532076
1965,1.075135510832969,1.1921617664044075,0.9986443271143529,0.7293837078419132,1.2412777312103365,1.1265204905072506,1.480741435340056,0.8886232782195739
1966,1.296737421896288,1.1980357508991286,1.034577597854483,0.7716878537189461,1.3439206712099385,0.8436137089436091,1.3463134329880422,0.7825313868882738
1967,1.2025409638290079,1.1166334419609678,0.9076424848796908,0.7639725851421135,1.3800441879706251,0.8846416560198893,1.6664750285819427,0.9482633089438497
1968,1.3067981918786422,1.0396412638219303,1.139189851854891,0.7371996592396849,1.4562967462179854,1.1960180641970055,1.521280384627224,0.7395953729765943
1969,1.3496501914680719,1.2391361312006937,1.2272443965418645,0.9140648801375727,1.5340897399626465,1.1529680647637393,1.5650349490274573,0.966955704660451
1970,1.561476317429335,1.2102008917014027,1.2809636064539425,0.8950240688201132,1.489856563612695,1.2239943483516287,1.4682163183596677,0.9576846243538615
1971,1.5224618947108268,1.1910595940646849,1.4175479987713477,1.0455602917647504,1.5066080667747208,1.266281068294845,1.5861915177892394,0.9222105874482124
1972,1.6208301697290193,1.2980244604047928,1.5403258713320633,1.0663505457308973,1.467274604062612,1.2216365921648265,1.888154109385679,0.8507817438144166
1973,1.7428637490695418,1.3139613199634794,1.5893748446565648,0.9806173216458752,1.530945827892577,1.270366977654677,2.130122769742034,0.9783166855577707
1974,1.4949096015036394,1.2920988877592796,1.5087313619795992,1.0250254771456502,1.4916102744848097,1.5755321954530033,1.8992547200464769,0.9801118482863136
1975,1.4479495973735468,1.3294726323667907,1.554480578980297,1.1327327775066702,1.5185344996318435,1.0506330860769402,1.8997784465514904,0.8810227849921303
1976,1.5669655869898957,1.3278100502741048,1.5365242258861675,1.0719367379737905,1.5133933014259802,1.2818740818101055,1.8331262019321215,0.9466166306023172
1977,1.563224351459026,1.3917833835443143,1.4938518729844452,1.0875512514824828,1.5227101496511777,1.442964476719831,1.9479371951380309,0.9224111263372251
1978,1.539789323147858,1.3068669432565134,1.4812192100420727,0.8744964313901779,1.605851954769793,1.3474164627366483,1.658398901099827,0.9520600076120799
1979,1.57477284026364,1.2429205804488699,1.4469401120578917,0.8922888218103137,1.5829932262540376,1.1237657444722455,1.9271276186111748,1.0390636947482894
1980,1.567502879539544,1.3444386725264186,1.398493620473335,1.0171343759587503,1.5546740183644958,1.6217621713699752,1.6871499965344527,1.0113906465150033
1981,1.48341859147597,1.106751796289837,1.2888285676107603,1.1949933461763225,1.4346353237892968,1.1437680526733336,1.654299971776859,0.9356094742014157
1982,1.457693047388373,1.0321005223678759,1.2698733106126439,1.1804982587079063,1.3767820781537006,1.1118296565162684,1.4357527301733697,0.9781748915589977
1983,1.3845851345897016,1.1095564074518485,1.3580698510152631,1.0349114777762223,1.3538032430902789,1.0589190637122845,1.574955792613284,1.1052183836768728
1984,1.326405776948778,0.9428698504641544,1.2363131229523519,1.1962170515719042,1.279177397906204,0.9543107128977483,1.5461568957493461,1.200172252378507
1985,1.2191126031243507,0.9349908635836982,1.2578362067312174,1.1967218288377255,1.2545436181222807,1.1974095668274605,1.4167112307504124,1.0950680380334115
1986,1.340530666241743,1.257730774977423,1.2633096959762355,1.1101280062258025,1.3029976673378023,1.0294651934014292,1.5715785229414234,1.332038035054739
1987,1.2357710050017476,1.1044574428327762,1.3286260240993155,1.265818922849332,1.2483595559314773,1.2414854300569973,1.5613368045772822,1.5564948089556088
1988,1.2890620046120533,1.2306585137691601,1.3963575015873504,1.2602747312264255,1.2479868136560732,1.3073983365977304,1.6076809714729128,1.3908059378323376
1989,1.2972380011993654,1.3047179363226655,1.4843067377980288,1.1943536933093735,1.1507291338434766,1.1405458256013874,1.5710385074258453,1.4494105963371549
1990,1.2611083787092503,1.2466840354459272,1.4894057109351337,1.177383290236289,1.379325128445958,0.9703454166978868,1.2431164736654936,1.2659488000057417
1991,1.2953385065599197,1.2675652760790965,1.5588669418379872,1.3188328816726398,1.379461950850004,1.0986220351320533,1.6069045850408774,1.2563945399704237
1992,1.2846404711229056,1.21777030713846,1.462696017546506,1.089216250591792,1.38438081145589,1.1939014786663968,1.4369323465420978,1.1414272386443873
1993,1.2655966207979423,1.0086455432960555,1.4035729723609152,1.0008326868476136,1.4357833656876782,1.1579174853170864,1.585452673829825,1.0099830890654196
1994,1.1310203153176324,1.120102250683784,1.3579830639929373,1.1898759987678578,1.4556415166596268,1.0531181597661456,1.3980574445275225,1.1305171836559043
1995,1.1768402641444289,1.1614545176307607,1.1587434760969133,1.1951693400838272,1.3966803836222215,1.2990666885756281,1.2103059712088104,0.972468205281287
1996,1.1966811305207448,1.3127050490579342,1.279210503722977,1.0622834188047103,1.5702119033035193,1.4172217845632964,1.475033646168824,0.9185024744959838
1997,1.1960393152173914,1.3691848288591355,1.2400669392950499,1.153737044199679,1.6547263385487856,1.3950225394497624,1.3952355676418822,0.9363881564368934
1998,1.2904973058960287,1.270070229870913,1.2476870492499779,1.262151904369146,1.683816181615237,1.5292819671253148,1.5515826016242953,0.916718427475363
1999,1.33477264445006,1.2666572996133723,1.0041010921475135,1.397701113999128,1.7116843845893506,1.4119482626020663,1.6154399348382678,1.1775196553915603
