year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
1966,-204.30437463633726,-204.75053269911277,-232.8335191796452,-260.1783431845382,-204.86972205427688,-241.2429286437971,-197.69235603198544,-267.91812030977485
1967,-214.62318209962885,-218.76290941771637,-250.28557247978188,-262.2505892729904,-200.98583329099606,-249.7360793885706,-175.23306881086526,-244.37688396466456
1968,-211.69930398549454,-229.0118842795449,-221.0733746738753,-264.4770038006012,-193.2940311470131,-199.11449015899856,-177.82356832670993,-287.7845901886924
1969,-204.12174489401687,-204.9677128451826,-204.64952055774913,-244.13373530640536,-184.3215018683167,-208.11231233991478,-177.69925512544594,-255.56012035941455
1970,-181.41657364969134,-197.96086607766287,-197.54285846998326,-240.86299394647835,-185.3269265093575,-196.33548745699474,-185.29231623394057,-244.40449350569133
1971,-184.7243944886715,-197.51501597552655,-178.14318720258868,-230.18360508258965,-181.82366078661298,-188.89438755253056,-178.52583056578263,-262.944504476406
1972,-168.8352857576634,-188.24411601172923,-180.6164234481689,-220.8003395401673,-183.12947422434715,-205.01549510496582,-148.37466883896226,-255.7020909232342
1973,-160.137888468853,-188.20073895205493,-175.74272108838576,-230.3562066396046,-180.9520799620142,-189.54063123668593,-135.60725089027332,-238.56232953492915
1974,-170.88203874867983,-184.88289586819835,-182.69100121661424,-222.55666937486254,-186.78821168785018,-164.00248922000864,-147.83388630183256,-231.69375841119634
1975,-170.92736865081926,-183.27881445074112,-182.38579533977415,-210.780461938426,-183.1789995914901,-214.90789156138695,-150.8461728025824,-249.27675414785472
1976,-166.02710469999002,-180.30563937824562,-182.34096512536954,-222.09678764259897,-182.63741910853892,-194.98734079257443,-150.06218197633015,-228.76294447090888
1977,-163.7165668094752,-181.8969494545381,-183.62174653822004,-210.62342433818012,-181.2297414645938,-177.86914063470945,-142.9236931574754,-234.81171021896435
1978,-164.80730784588175,-179.48172012230256,-172.688599011695,-237.1923293611268,-176.3706532344518,-193.4673114608561,-156.69189377746554,-229.76767138984368
1979,-157.9610460809666,-182.14033979541446,-175.07296522971419,-237.54633605898604,-170.85795646038198,-203.9317189226181,-141.35879718735433,-224.25356989736306
1980,-154.4781684654777,-174.20460788890236,-176.7826832579453,-218.03596562018376,-169.67667259725405,-158.8719303542271,-154.8541670292894,-221.74200794595848
1981,-166.83207419610162,-192.8090746954093,-180.621894161649,-194.85921636674775,-182.16841478361303,-206.0040899491831,-156.2361295102891,-234.69860392448882
1982,-165.54118608321906,-202.48321900862388,-178.01093931179005,-197.45841621992,-182.89730760129973,-206.17973501378404,-172.49078743554767,-229.8750045338373
1983,-174.07886581302594,-196.95490261347734,-170.07269723602488,-221.55916843787608,-186.61782677775747,-206.87359694923308,-157.87913444438007,-219.5406188674372
1984,-182.73386748251798,-218.38733275171822,-183.29872207814984,-201.75347567994007,-193.81430350049217,-224.32000732000793,-159.05868168553357,-209.29151672709625
1985,-184.38198210526488,-220.11050588805662,-177.43505314928578,-195.2117034343996,-193.01246686308545,-188.68831572955648,-171.50268382857953,-220.90786992187267
1986,-171.3391006050716,-191.35935817948754,-181.3497696069701,-205.21222114154952,-184.7407554702826,-205.1764146656537,-154.79972180198664,-193.5043879748483
1987,-186.05300271619095,-199.7502354080281,-172.63540847236928,-195.6981756305261,-183.1723106658172,-187.2864700149337,-159.8374265135147,-168.05125496058216
1988,-180.24266462562244,-189.0473339284138,-166.3193621792411,-197.60212600197204,-183.70936172128776,-177.41376381218546,-161.20614951717553,-176.36465419156733
1989,-181.41362758172724,-182.5305668351518,-158.89287578300875,-191.00687606468736,-191.1190761003709,-192.36798440555933,-148.25702994408672,-171.4929354697563
1990,-176.34204707801902,-193.1835631638721,-162.0283592769779,-189.57265143800427,-168.55142716887676,-210.15703176436077,-177.01410740720362,-198.03793239561585
1991,-185.65911025095787,-183.99506943816877,-157.17374319848656,-178.3212318318472,-169.20958883132627,-197.6484555708133,-151.05289454918724,-194.08178911013167
1992,-179.25477749509034,-188.8654439221585,-171.5518502246816,-202.52818216800975,-169.64678299118796,-181.59921939111612,-154.14922979829154,-208.75798565355703
1993,-174.73362235594195,-219.25835514799806,-177.88030869436838,-205.66728582208899,-162.45455541900483,-189.39614928356107,-143.01870006955332,-211.8839545586608
1994,-194.82541678922317,-202.30522494045695,-180.6940251833037,-179.81629301754046,-161.64811980962295,-214.56911322441633,-166.91309355273327,-204.99805923617433
1995,-193.74229067008528,-194.45260665216287,-197.56112066413678,-178.45058296152618,-167.7423148306493,-183.20698575108045,-179.84967743539315,-231.30294047452227
1996,-193.10853617453668,-182.44266099974445,-185.72925646633476,-201.49881949723945,-160.45459361276548,-180.94231666825735,-154.31672239659483,-218.2661485767247
1997,-191.8568718221609,-180.76105404331346,-181.40940544921395,-182.44509609675893,-159.53022637861594,-172.55658071117838,-162.20205025943406,-198.45774493132436
1998,-174.218236068109,-189.08833541343918,-178.01655409311692,-189.57301608513833,-161.30052512423495,-167.38738518192312,-153.88731525395903,-200.60296339449079
1999,-167.53564178811436,-185.9275716377674,-202.88654040341018,-167.15400996022757,-157.97486024457734,-167.6502891563335,-146.90571344346014,-178.7900927132197
2000,-190.85731470386943,-176.61764404323216,-194.02949795658944,-175.49412753382947,-163.0047379214969,-161.2568911634385,-138.02999392631344,-173.10940574567164
2001,-176.9371537132811,-175.3456905026234,-181.2531509426175,-180.69054258385998,-161.86706647039543,-214.06379881503145,-147.21221140441375,-190.50680948285063
2002,-175.24127514509686,-185.30112419920474,-176.2355312590834,-170.20537389481748,-163.06548277746796,-177.60090026058165,-158.63245847220136,-172.85519112802987
2003,-186.75381891422003,-194.69608151569182,-201.73769459364954,-161.07930581885645,-161.42408722141946,-199.20054474933173,-145.29796666429135,-193.81652103718088
