year,a,b,c,Lmax,k_learning,n,Gmax,growth_speed
1948,0.00562533124873518,0.03307445823860589,0.029899593025226635,0.015384322351737117,36.47424529752283,0.13936519671074774,0.06511856564295136,0.11156211632302628
1949,0.004345357106866661,0.03699438629666635,0.029457337831507457,0.015339672695337259,37.00575578375391,0.13808790332310633,0.06222801747153397,0.10383177237550616
1950,0.002603886287262261,0.0428180599725877,0.028370256774140262,0.011474054476827087,36.87798644960465,0.1533351429846581,0.057313645367359764,0.09218184833183451
1951,0.0029906477139654245,0.043515825622026376,0.028386537013230365,0.017724776846672168,39.22484509435012,0.12098547418761249,0.057917277473720274,0.09315418171669874
1952,0.0029064858393797223,0.04246044948018683,0.026930287604928094,0.015901786517623712,38.544992750236105,0.1195444778534305,0.05540785918203652,0.08693679464353869
1953,0.0024458409085582936,0.04465186213595289,0.026146153815248513,0.015346903897825552,39.08445002977185,0.11857305171693278,0.05306998115750485,0.08439079801016489
1954,0.00235306576401154,0.04552281449145315,0.024626422726244584,0.016794965808945305,39.84072516032774,0.10987053689323187,0.050450078763855176,0.07424095192219043
1955,0.002316736080844707,0.04535485387876443,0.024250445896429423,0.015553840587272667,38.89730489536733,0.11410743300845659,0.04956766577795798,0.07700538189826142
1956,0.0018402830522578901,0.04852587667205617,0.023696647755054027,0.01517902093327451,40.00860467352958,0.11186526283308595,0.04783722668895552,0.07026120455243899
1957,0.0034721735115944546,0.04170294478015762,0.021908092428759372,0.023719028609092353,40.62066029814613,0.09491735469737249,0.046701997534725606,0.08306511128326824
1958,0.002132794321314409,0.046483377820538185,0.022118179797507673,0.015919716943267898,39.41685360382011,0.10932076654999918,0.04525071509814475,0.07510300585602712
1959,0.003526690136238212,0.04150195690553219,0.020523923345135458,0.02438185560081142,40.79807610364578,0.09390445758517575,0.04409522471914845,0.08675290169315357
1960,0.0018767821485383852,0.047237419334384426,0.021879657104768215,0.013550669655574709,38.437386789386686,0.11400025002060579,0.04441320197168788,0.07133538328485711
1961,0.003544867968371084,0.041100872448940735,0.019803480293168498,0.022918521795213077,40.036734597098864,0.09597819975220322,0.04273846706265282,0.09099635672356071
1962,0.0042731930433463905,0.03968706695198221,0.01963806984878891,0.028699778173629342,41.286889372445074,0.0875281150254883,0.04349575216390772,0.08679806982557903
1963,0.002884760817308273,0.04349203321238234,0.01989085735294674,0.020445604273306696,39.9342590164417,0.09919190889069576,0.04189700881026346,0.08593978270998044
1964,0.0029818902973055006,0.04130924634428704,0.018795303484970903,0.016585520787264177,37.60915437103243,0.1054804958636203,0.040374238955061766,0.08285606270225916
1965,0.0036488328840209795,0.039750148787370494,0.016938001240998042,0.021024986531563518,38.757827283952984,0.09524320434883082,0.037538652495365865,0.091201113971584
1966,0.004882434002016218,0.03642926737055774,0.015767676466145707,0.023814769690415696,38.33388422773543,0.09270190739201106,0.037219755075868576,0.1047719356979098
1967,0.0045291755122725975,0.03665757781118494,0.01509858779325928,0.02245402571232571,38.090364489755075,0.09133884218913563,0.03548172951498768,0.09523270123158718
1968,0.003925220655301431,0.038412566007479776,0.015696584048010775,0.020636452957796703,37.93433490879298,0.09458101107429129,0.035557436356216,0.09668078388917922
1969,0.002571959156320191,0.04204677798918164,0.016163162519941432,0.012447286752707357,35.42452222564882,0.11991112911676824,0.034551133012114356,0.0980191803645374
1970,0.001629031724267077,0.04677963955203822,0.01725736930616237,0.008634070510546004,34.52047861793885,0.13851046926869012,0.035303052576822654,0.07999067173031249
1971,0.0018667054864841424,0.04467444940437771,0.016370668702648045,0.00930073004084603,34.36516074679562,0.12981196728964867,0.0340602391846837,0.07962469568513726
1972,0.0015063995733809279,0.04702344404302397,0.0158474339125037,0.007146421226652836,33.42518802499336,0.15501438319430344,0.03220192150416752,0.09064628165495224
1973,0.0014958472284461411,0.046673664917876716,0.015472793115381276,0.006729009200363017,33.28610103410134,0.16290810982842888,0.031498898035551386,0.09268669460757337
1974,0.001815947986885385,0.04451453092418902,0.014927371737628248,0.008207773985664671,33.68118776887,0.14287594479967308,0.031119528808492586,0.09259062502626877
1975,0.0013899154650731731,0.04769428876493707,0.014462350267863798,0.0070419562551260655,33.74885265940911,0.15430522620913076,0.02960230363105486,0.08550460327825023
1976,0.0013359105106728832,0.04863600086421699,0.01315207051798638,0.007371582008676932,34.14922260851509,0.1507930037570269,0.02696774414314316,0.08961718382838722
1977,0.001227192356067077,0.04889717282356393,0.01307788449977463,0.006366780092961217,33.61796645803942,0.1616121175970761,0.02665582021916748,0.08953325630254678
1978,0.001352413634520401,0.04812659399303568,0.012492906821191384,0.007343851422353877,34.21012408666563,0.1496108446445319,0.02574918343053461,0.09133291269510356
