year,France,United_Kingdom,Japan,Italy,The_United_States_of_America,Netherlands,Canada,Spain
2006,31.001080003973527,7.164489621154104,-13.823574094404108,45.90240224276579,8.027562773462478,-10.539335452916447,0.6121608292901044,-18.105509028202192
2007,-1.5458372780174159,42.88716216968956,71.29414591666952,33.41800698863804,6.999017452003727,3.322676958442486,0.42662077474571447,67.07763810925428
2008,56.529278020126014,74.50999680121203,-11.605949660079744,7.644254356267226,149.37328789668794,31.737814136643095,0.9549060339681716,-15.340717902067155
2009,-2.094233314055174,62.496851874164776,133.18143896643667,29.185945571951834,6.334497596052046,-8.51961655726987,5.492792698883875,-17.332174160608588
2010,-2.9138041291820684,18.137268089758038,-13.9120771485467,97.63384425974075,8.292916099490867,38.6402050510593,41.15600681938176,33.60295252482294
2011,33.98225049997973,2.11998430229076,27.854825429621712,71.36670943458132,6.956047847661466,-9.220263662666696,3.1492173765055895,52.342823038532174
2012,54.67850149277879,84.6986506372517,74.91569377925083,88.66060344716605,7.990324333085368,29.612008758506562,97.14442850261513,79.02827974907505
2013,64.17751632086464,52.21337538225569,-12.834648716078306,80.34295557682877,6.18143139810951,-3.2106371098007287,3.0533969804109233,-22.237544125300417
2014,58.591550007511756,20.555972181802957,-16.302779318325804,-11.848479746614004,6.485582154734743,17.141028474339663,7.444568937832912,96.72690089877278
2015,82.02153926065486,20.424105886797577,66.02869299875243,-7.735087698565422,38.189718832719706,-6.643237170696892,5.5392605464060125,108.74869549175399
